,IDBaseLeg,NomCap,NumArt
0,4d5c08545d4546cfb0ec93c09bc1eceb,Capitulo2,Articulo1
1,c5b888081ab5448b8f1ed3a197f9f5ae,Capitulo1,Articulo2
2,418fb73ad0ea436f916cb69c3a76e5c3,Capitulo1,Articulo2
3,f391be141ae243b58defaacc3c3bc4af,Capitulo2,Articulo1
4,894690426a734b0da4a596b2ff21d207,Capitulo1,Articulo1
5,52bb45498f9b4fe1b8b34a7ca7dc05b4,Capitulo1,Articulo1
6,e682029ee6bd44b4858267ed5d11367d,Capitulo1,Articulo1
7,eca2ac396bc4406cbd7ae836bd9b4c92,Capitulo1,Articulo2
8,03c6877845514eba952c8e38b6a62c25,Capitulo1,Articulo1
9,06d39277275a496892dc375d58460268,Capitulo1,Articulo1
10,7cfae19d4e2843caa70a942d6f963d6b,Capitulo1,Articulo2
11,72c3d02243364677a43614eff68c07f4,Capitulo1,Articulo1
12,ddb971687b254f5c8ba466c5c90a8aa9,Capitulo1,Articulo1
13,fd7dbc7241414a85af904b08ed03c342,Capitulo1,Articulo1
14,3ee3d468d5494860b69073be7a9bd2cb,Capitulo1,Articulo1
15,451d12ec339e4965bff2cb1811904675,Capitulo1,Articulo1
16,b48d8d367af349c6aacedc28fdf423cb,Capitulo1,Articulo1
17,582066ebc30344a89f8be536555b451d,Capitulo1,Articulo1
18,a6fe628bd9594ec1bf6f5bc9a40bfc68,Capitulo2,Articulo1
19,e0dc406f72324eea9e5281c6065f188d,Capitulo1,Articulo1
20,341f802a7c1e43b7a1001c69fefb646b,Capitulo1,Articulo1
21,ab2f2364f488410f907f82e8b9e50cbc,Capitulo1,Articulo1
22,b0a53c1b7c454d9d901fc5e80e5c7c1f,Capitulo1,Articulo1
23,4a3239ab00064fc1b265620b1dd2df2d,Capitulo2,Articulo1
24,975b848aacdf482eadab3df0a3094eda,Capitulo1,Articulo1
25,0ddfa555d67c4007a03d519f43c8a4d6,Capitulo1,Articulo1
26,37f92d27db0347e68c2c62008bf6918d,Capitulo1,Articulo1
27,0c97956d3f454dffb2519f5a3a7e5398,Capitulo1,Articulo2
28,8a492795cc3242538ff6bbf9c541446d,Capitulo1,Articulo2
29,9053ec4418754f64945e1d7b248bad51,Capitulo1,Articulo2
30,3d57d45fa9204d8d9539a313b0f517fc,Capitulo1,Articulo2
31,226084cc840f410694686346d766df06,Capitulo1,Articulo1
32,cdd939879ccc460eb059e984d583c8b9,Capitulo1,Articulo1
33,b899fff96cd6439fb1529c0da40ba452,Capitulo1,Articulo2
34,1f6b78d85d0d4eac979e30ccd2585f14,Capitulo1,Articulo1
35,dd0371ffb59c4b5b816cd67b3cb7c953,Capitulo1,Articulo1
36,bf982e74c68544bf8ac2b9578fe7e08f,Capitulo1,Articulo1
37,8f83209ba2ce49188671433e1bd74189,Capitulo2,Articulo2
38,a989cb11e0d94ea99d13fa7779191ae9,Capitulo1,Articulo1
39,81c4d01e69df4728abdc7084be64a9da,Capitulo1,Articulo1
40,2648cfac28f8478e8455eb013739e41d,Capitulo1,Articulo1
41,47b098a9a53b4ccea52791f5fa5630cb,Capitulo1,Articulo1
42,5a9f818eb7544d26be88ac20d7ab3407,Capitulo2,Articulo2
43,20297660e5694e6e9a325a787865ce67,Capitulo2,Articulo1
44,23497cdf22344ffe90495993cd2a4b42,Capitulo2,Articulo1
45,36ef73cb5ef64de2bc6fc0323bcde8da,Capitulo1,Articulo2
46,a15da9bb71364567b19715158795a6ec,Capitulo1,Articulo1
47,61f7d961152640539ebcb67bfc790131,Capitulo1,Articulo1
48,e4cef84a131440dfb1db91d69cf78cbc,Capitulo1,Articulo2
49,6ee4e20f1f6140e29b8b06d6dbcb8145,Capitulo1,Articulo1
50,02a534ff127a45beb0a3fdb6c7a69841,Capitulo1,Articulo1
51,cb934a0860814987b76906a9aebb099d,Capitulo1,Articulo1
52,110302e6508040ee9c8bab1323f1e96e,Capitulo1,Articulo1
53,b79109990cc04100b942e2a41698f97f,Capitulo1,Articulo1
54,083c91be38f841f9913c2a3fb7794423,Capitulo1,Articulo1
55,8a7ebcff977748998803de412baa8a49,Capitulo1,Articulo1
56,14ceb855417e472683fe23ace10675bc,Capitulo1,Articulo1
57,6543668dd5e04151bff8c73b5c362b4c,Capitulo2,Articulo1
58,432e56da9e9d420894ec431e4815e213,Capitulo1,Articulo1
59,f99fc6399aaf462981734f9272d55297,Capitulo1,Articulo1
60,3fec8036c3934c5fbb15c66df88fc86b,Capitulo1,Articulo1
61,fb6f99d813bc492fb7100dbf28323e67,Capitulo1,Articulo1
62,aecabd4144bd493cbc948ed8943bf2e4,Capitulo1,Articulo2
63,4be245b302ec46119c1a8a69f7797657,Capitulo1,Articulo1
64,57d7ec56076f47f78d06988f77bd77ea,Capitulo2,Articulo1
65,8e2968980df24a22a90470b1d0bead1b,Capitulo2,Articulo1
66,46e2e963d25b4a6baf69472f095409c9,Capitulo1,Articulo1
67,8c504e743e64433f8fdd1db8f30e0a20,Capitulo2,Articulo1
68,7ab9ad1f0b2b487c9afca2185946ff7d,Capitulo1,Articulo1
69,86c61c61a0c9436e9b1e57c54412c095,Capitulo1,Articulo1
70,6d6bb20897a340da9e4c2e9975515604,Capitulo2,Articulo1
71,3504d0d6672e4fcda0f5ee1ae65299b3,Capitulo1,Articulo1
72,6b81a8276cac445580acac4611ad12e0,Capitulo1,Articulo1
73,06a4e34efe9947eab0b24c53e2740aa4,Capitulo2,Articulo1
74,66e880d444034c0e80daaf28e3e16689,Capitulo1,Articulo1
75,9b7895e21faa4c75af4921d439462e66,Capitulo1,Articulo1
76,9e4c73554b8e470489a07fd4b5362595,Capitulo1,Articulo1
77,1f155661b2974985894f104b20fccebd,Capitulo2,Articulo1
78,a970254087c343da8363a170af577aed,Capitulo1,Articulo1
79,e6c8f4e1dce6489f8612ad607cd3a8c4,Capitulo1,Articulo1
80,d146910e88b94aa68b97271691509a30,Capitulo2,Articulo1
81,f78977a3088644ceb42cda42f5b1db8a,Capitulo1,Articulo1
82,bad8b2504ed04e5887867634cef06f78,Capitulo1,Articulo1
83,d1e010e735434cdebd2de8b04aef20e7,Capitulo1,Articulo1
84,184a4c9b5a514d2d89b39d8763991d5d,Capitulo1,Articulo1
85,22de40bd0da24f89a4903ff9fbc96d69,Capitulo2,Articulo1
86,648e867ba28f4f5da00197255b7b7190,Capitulo2,Articulo1
87,f22d59d39dc54e3bad991fef75df4bd8,Capitulo1,Articulo1
88,a6efcc1562774551a37f48cb97327a41,Capitulo2,Articulo1
89,afaa982105f24e99b6c23637c4ae8886,Capitulo1,Articulo1
90,16c6c070031c4eb2afeea0b72ed2984a,Capitulo1,Articulo1
91,27e0a8957ce0458f91bc36c632081c12,Capitulo1,Articulo1
92,f4977913f75d46678970bc297762f7e2,Capitulo1,Articulo2
93,00ccdcc68966462aabcb1b96301184b5,Capitulo1,Articulo1
